fold,state,target,n,MAE,RMSE,bias
2024/2025,Osun,hospitalizations,52,112.06491186803426,259.19475223350594,-68.78819785091014
2024/2025,Osun,deaths,52,7.269988424321195,19.343093848235526,-2.901125351616343
2024/2025,Cross River,cases,52,7834.250360725067,16968.307485162022,-3350.401396718044
2024/2025,Cross River,hospitalizations,52,107.43704121445909,212.67735351797702,-5.846543432202216
2024/2025,Cross River,deaths,52,12.654142711817656,30.249066852768177,-7.446303282720321
2024/2025,Ebonyi,cases,52,6954.377791806434,18789.93121979517,-4126.2978972498995
2024/2025,Ebonyi,hospitalizations,52,110.64865892738247,251.25797222853205,-58.18779975112364
2024/2025,Ebonyi,deaths,52,9.769170750889824,26.629666910953627,-6.254580236766808
2024/2025,Nasarawa,cases,52,5009.9530587955205,9396.14805302622,-1485.3732521110144
2024/2025,Nasarawa,hospitalizations,52,109.6359623031874,243.7317003945017,-67.54143336265292
2024/2025,Nasarawa,deaths,52,10.849713447604909,25.590657811281794,-7.104985376892602
2024/2025,Ekiti,cases,52,4931.957747026188,12600.51831964861,-2067.974854576145
2024/2025,Ekiti,hospitalizations,52,110.99963961137838,258.81693301717684,-55.324402640708236
